                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3458,                0.71032,                0.99901,                 1.5035,             0.00023724,             0.00023724,             0.00023724
                      2,                0.90396,                0.73512,                0.99702,                   1.47,             0.00046936,             0.00046936,             0.00046936
                      3,                0.88482,                0.70337,                0.99306,                 1.4937,             0.00069558,             0.00069558,             0.00069558
                      4,                0.84104,                0.70139,                0.99603,                 1.4965,             0.00068749,             0.00068749,             0.00068749
                      5,                0.76513,                0.76389,                0.99702,                 1.4409,             0.00067866,             0.00067866,             0.00067866
                      6,                 0.7185,                0.74901,                0.99802,                 1.4536,             0.00066982,             0.00066982,             0.00066982
                      7,                0.67784,                0.78373,                0.99802,                 1.4256,             0.00066099,             0.00066099,             0.00066099
                      8,                0.63767,                0.78671,                0.99802,                  1.417,             0.00065215,             0.00065215,             0.00065215
                      9,                0.60378,                0.77381,                0.99901,                 1.4249,             0.00064331,             0.00064331,             0.00064331
                     10,                0.58461,                0.75397,                0.99901,                 1.4291,             0.00063448,             0.00063448,             0.00063448
                     11,                0.52598,                0.80655,                0.99901,                 1.3938,             0.00062564,             0.00062564,             0.00062564
                     12,                0.53839,                0.79663,                0.99702,                 1.4133,             0.00061681,             0.00061681,             0.00061681
                     13,                0.49542,                0.80357,                0.99702,                 1.3931,             0.00060797,             0.00060797,             0.00060797
                     14,                0.48614,                0.76885,                0.99802,                 1.4098,             0.00059914,             0.00059914,             0.00059914
                     15,                0.46143,                0.80357,                      1,                 1.3768,              0.0005903,              0.0005903,              0.0005903
                     16,                0.46381,                0.80258,                0.99603,                 1.3862,             0.00058146,             0.00058146,             0.00058146
                     17,                0.42111,                0.82143,                0.99802,                 1.3712,             0.00057263,             0.00057263,             0.00057263
                     18,                0.39822,                0.80754,                0.99802,                 1.3706,             0.00056379,             0.00056379,             0.00056379
                     19,                0.36974,                0.81647,                0.99901,                 1.3702,             0.00055496,             0.00055496,             0.00055496
                     20,                0.39022,                0.81944,                0.99702,                 1.3652,             0.00054612,             0.00054612,             0.00054612
                     21,                0.36383,                0.81052,                0.99901,                 1.3722,             0.00053728,             0.00053728,             0.00053728
                     22,                0.36574,                0.82143,                0.99901,                 1.3618,             0.00052845,             0.00052845,             0.00052845
                     23,                0.33709,                0.79365,                0.99901,                 1.3802,             0.00051961,             0.00051961,             0.00051961
                     24,                0.31026,                0.81151,                0.99901,                 1.3669,             0.00051078,             0.00051078,             0.00051078
                     25,                0.29751,                0.82143,                0.99802,                 1.3543,             0.00050194,             0.00050194,             0.00050194
                     26,                0.29076,                 0.8006,                0.99901,                 1.3811,             0.00049311,             0.00049311,             0.00049311
                     27,                0.29326,                0.80853,                0.99603,                 1.3671,             0.00048427,             0.00048427,             0.00048427
                     28,                0.27502,                 0.8254,                0.99603,                 1.3564,             0.00047543,             0.00047543,             0.00047543
                     29,                0.27146,                0.81151,                0.99702,                 1.3641,              0.0004666,              0.0004666,              0.0004666
                     30,                0.26041,                0.81448,                0.99702,                 1.3546,             0.00045776,             0.00045776,             0.00045776
                     31,                0.24607,                0.80456,                0.99802,                 1.3642,             0.00044893,             0.00044893,             0.00044893
                     32,                 0.2618,                 0.7996,                0.99702,                 1.3737,             0.00044009,             0.00044009,             0.00044009
                     33,                0.22642,                0.82341,                0.99702,                 1.3548,             0.00043126,             0.00043126,             0.00043126
                     34,                0.21718,                 0.8125,                0.99504,                 1.3686,             0.00042242,             0.00042242,             0.00042242
                     35,                0.22044,                0.82242,                0.99901,                 1.3511,             0.00041358,             0.00041358,             0.00041358
                     36,                0.21519,                0.79762,                0.99008,                  1.372,             0.00040475,             0.00040475,             0.00040475
                     37,                0.20574,                0.81845,                0.99901,                 1.3568,             0.00039591,             0.00039591,             0.00039591
                     38,                0.20635,                0.81746,                0.99802,                 1.3466,             0.00038708,             0.00038708,             0.00038708
                     39,                0.18709,                0.79861,                0.99603,                  1.365,             0.00037824,             0.00037824,             0.00037824
                     40,                0.18837,                0.81448,                 0.9881,                 1.3566,             0.00036941,             0.00036941,             0.00036941
                     41,                0.16925,                0.81647,                0.99504,                 1.3562,             0.00036057,             0.00036057,             0.00036057
                     42,                0.18459,                0.80655,                0.99802,                 1.3585,             0.00035173,             0.00035173,             0.00035173
                     43,                0.16169,                0.81845,                0.99603,                 1.3489,              0.0003429,              0.0003429,              0.0003429
                     44,                0.15494,                0.83532,                0.99702,                 1.3365,             0.00033406,             0.00033406,             0.00033406
                     45,                0.15345,                0.81944,                0.99603,                  1.349,             0.00032523,             0.00032523,             0.00032523
                     46,                0.14088,                0.79365,                0.99802,                 1.3711,             0.00031639,             0.00031639,             0.00031639
                     47,                0.13677,                0.80456,                0.99802,                 1.3644,             0.00030756,             0.00030756,             0.00030756
                     48,                0.13787,                 0.8125,                0.98909,                 1.3509,             0.00029872,             0.00029872,             0.00029872
                     49,                0.12307,                0.80357,                0.99702,                 1.3566,             0.00028988,             0.00028988,             0.00028988
                     50,                 0.1249,                0.79663,                0.99702,                 1.3588,             0.00028105,             0.00028105,             0.00028105
                     51,                0.13114,                0.79563,                0.99504,                 1.3654,             0.00027221,             0.00027221,             0.00027221
                     52,                0.14082,                0.81448,                0.99702,                  1.356,             0.00026338,             0.00026338,             0.00026338
                     53,                0.11535,                0.82044,                0.98909,                 1.3478,             0.00025454,             0.00025454,             0.00025454
                     54,                0.12489,                0.81052,                0.98909,                 1.3535,             0.00024571,             0.00024571,             0.00024571
                     55,                0.11743,                0.80952,                0.99306,                 1.3557,             0.00023687,             0.00023687,             0.00023687
                     56,                0.10529,                 0.8254,                0.99107,                 1.3489,             0.00022803,             0.00022803,             0.00022803
                     57,                 0.1057,                0.80754,                0.99008,                  1.356,              0.0002192,              0.0002192,              0.0002192
                     58,                 0.0954,                0.82242,                0.99008,                 1.3432,             0.00021036,             0.00021036,             0.00021036
                     59,                0.10661,                0.84226,                0.99008,                 1.3306,             0.00020153,             0.00020153,             0.00020153
                     60,                0.10009,                0.83433,                 0.9881,                 1.3329,             0.00019269,             0.00019269,             0.00019269
                     61,                0.09761,                0.83234,                 0.9871,                 1.3361,             0.00018385,             0.00018385,             0.00018385
                     62,                0.09307,                0.82341,                 0.9871,                 1.3477,             0.00017502,             0.00017502,             0.00017502
                     63,                0.08613,                0.83532,                 0.9871,                 1.3347,             0.00016618,             0.00016618,             0.00016618
                     64,                0.08731,                0.82143,                0.98909,                 1.3384,             0.00015735,             0.00015735,             0.00015735
                     65,                0.08543,                0.82242,                0.98611,                 1.3457,             0.00014851,             0.00014851,             0.00014851
                     66,                0.07921,                0.83036,                 0.9871,                 1.3419,             0.00013968,             0.00013968,             0.00013968
                     67,                 0.0804,                0.81845,                 0.9881,                 1.3479,             0.00013084,             0.00013084,             0.00013084
                     68,                0.07946,                0.81944,                 0.9881,                 1.3474,               0.000122,               0.000122,               0.000122
                     69,                0.08109,                0.83234,                 0.9881,                 1.3374,             0.00011317,             0.00011317,             0.00011317
                     70,                0.07186,                0.84028,                 0.9871,                 1.3328,             0.00010433,             0.00010433,             0.00010433
