                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59043,                 0.7782,                      1,                0.54506,               0.003327,               0.003327,               0.003327
                      2,                0.51551,                0.78947,                      1,                0.51763,              0.0065944,              0.0065944,              0.0065944
                      3,                0.55078,                0.76598,                      1,                0.54508,              0.0097958,              0.0097958,              0.0097958
                      4,                  0.608,                0.67763,                      1,                0.60715,               0.009703,               0.009703,               0.009703
                      5,                0.60577,                0.72838,                      1,                0.56796,               0.009604,               0.009604,               0.009604
                      6,                0.61809,                0.74812,                      1,                 0.5543,               0.009505,               0.009505,               0.009505
                      7,                0.59524,                0.73402,                      1,                0.56304,               0.009406,               0.009406,               0.009406
                      8,                0.57174,                0.78102,                      1,                0.55285,               0.009307,               0.009307,               0.009307
                      9,                   0.57,                0.77162,                      1,                0.55253,               0.009208,               0.009208,               0.009208
                     10,                  0.528,                0.77256,                      1,                0.55104,               0.009109,               0.009109,               0.009109
                     11,                0.50356,                0.76786,                      1,                0.51814,                0.00901,                0.00901,                0.00901
                     12,                0.47603,                0.78008,                      1,                0.51853,               0.008911,               0.008911,               0.008911
                     13,                0.47493,                0.78102,                      1,                0.52353,               0.008812,               0.008812,               0.008812
                     14,                0.43777,                0.75188,                      1,                0.53134,               0.008713,               0.008713,               0.008713
                     15,                0.43011,                0.79323,                      1,                0.51064,               0.008614,               0.008614,               0.008614
                     16,                0.41287,                0.79981,                      1,                0.50875,               0.008515,               0.008515,               0.008515
                     17,                0.40151,                0.77538,                      1,                0.52428,               0.008416,               0.008416,               0.008416
                     18,                0.40767,                0.82895,                      1,                0.48387,               0.008317,               0.008317,               0.008317
                     19,                0.39046,                0.82049,                      1,                0.49615,               0.008218,               0.008218,               0.008218
                     20,                0.38228,                0.80921,                      1,                0.48621,               0.008119,               0.008119,               0.008119
                     21,                0.36237,                0.80921,                      1,                0.50396,                0.00802,                0.00802,                0.00802
                     22,                0.36807,                0.81579,                      1,                0.49246,               0.007921,               0.007921,               0.007921
                     23,                0.34563,                0.83459,                      1,                0.47677,               0.007822,               0.007822,               0.007822
                     24,                0.33828,                0.80451,                      1,                0.49164,               0.007723,               0.007723,               0.007723
                     25,                0.32149,                0.82237,                      1,                0.49106,               0.007624,               0.007624,               0.007624
                     26,                0.32775,                0.83647,                      1,                0.48194,               0.007525,               0.007525,               0.007525
                     27,                0.31205,                0.83647,                      1,                0.48244,               0.007426,               0.007426,               0.007426
                     28,                0.29162,                0.81391,                      1,                0.48418,               0.007327,               0.007327,               0.007327
                     29,                0.29621,                0.81579,                      1,                0.48504,               0.007228,               0.007228,               0.007228
                     30,                0.29041,                0.83553,                      1,                0.47256,               0.007129,               0.007129,               0.007129
                     31,                0.28119,                0.83083,                      1,                0.47459,                0.00703,                0.00703,                0.00703
                     32,                0.28869,                0.81391,                      1,                0.48672,               0.006931,               0.006931,               0.006931
                     33,                0.26825,                0.81955,                      1,                0.47757,               0.006832,               0.006832,               0.006832
                     34,                0.27349,                0.82613,                      1,                0.47997,               0.006733,               0.006733,               0.006733
                     35,                 0.2434,                0.82989,                      1,                0.47677,               0.006634,               0.006634,               0.006634
                     36,                0.24614,                0.84962,                      1,                0.46059,               0.006535,               0.006535,               0.006535
                     37,                0.24274,                 0.8468,                      1,                0.46446,               0.006436,               0.006436,               0.006436
                     38,                0.23198,                0.82519,                      1,                0.47691,               0.006337,               0.006337,               0.006337
                     39,                0.22912,                0.83647,                      1,                0.46869,               0.006238,               0.006238,               0.006238
                     40,                 0.2307,                0.83553,                      1,                0.46912,               0.006139,               0.006139,               0.006139
                     41,                0.21554,                0.82425,                      1,                0.47427,                0.00604,                0.00604,                0.00604
                     42,                0.21157,                0.82895,                      1,                0.47122,               0.005941,               0.005941,               0.005941
                     43,                0.20701,                0.83929,                      1,                0.46845,               0.005842,               0.005842,               0.005842
                     44,                0.20868,                0.83929,                      1,                0.47021,               0.005743,               0.005743,               0.005743
                     45,                0.19607,                0.82801,                      1,                0.47481,               0.005644,               0.005644,               0.005644
                     46,                 0.2015,                0.84398,                      1,                0.45999,               0.005545,               0.005545,               0.005545
                     47,                0.19055,                0.82143,                      1,                0.47873,               0.005446,               0.005446,               0.005446
                     48,                0.18186,                0.84586,                      1,                0.45959,               0.005347,               0.005347,               0.005347
                     49,                0.17833,                 0.8515,                      1,                0.45156,               0.005248,               0.005248,               0.005248
                     50,                0.17984,                0.84398,                      1,                0.45694,               0.005149,               0.005149,               0.005149
                     51,                0.16915,                0.85244,                      1,                0.45794,                0.00505,                0.00505,                0.00505
                     52,                0.15772,                 0.8468,                      1,                0.45923,               0.004951,               0.004951,               0.004951
                     53,                0.15577,                0.84211,                      1,                0.45714,               0.004852,               0.004852,               0.004852
                     54,                0.16353,                0.85056,                      1,                0.45712,               0.004753,               0.004753,               0.004753
                     55,                0.15891,                0.84962,                      1,                0.45935,               0.004654,               0.004654,               0.004654
                     56,                0.15204,                0.85996,                      1,                 0.4492,               0.004555,               0.004555,               0.004555
                     57,                0.14236,                 0.8515,                      1,                0.45286,               0.004456,               0.004456,               0.004456
                     58,                 0.1414,                 0.8609,                      1,                0.44619,               0.004357,               0.004357,               0.004357
                     59,                0.13659,                0.85996,                      1,                0.44252,               0.004258,               0.004258,               0.004258
                     60,                0.14478,                0.87124,                      1,                0.43739,               0.004159,               0.004159,               0.004159
                     61,                0.13088,                 0.8562,                      1,                0.45452,                0.00406,                0.00406,                0.00406
                     62,                0.13203,                0.85808,                      1,                0.45024,               0.003961,               0.003961,               0.003961
                     63,                0.13104,                0.86466,                      1,                0.44168,               0.003862,               0.003862,               0.003862
                     64,                0.12502,                0.85808,                      1,                0.44598,               0.003763,               0.003763,               0.003763
                     65,                0.11722,                0.85056,                      1,                0.44991,               0.003664,               0.003664,               0.003664
                     66,                0.11838,                0.84868,                      1,                0.45307,               0.003565,               0.003565,               0.003565
                     67,                0.11071,                 0.8468,                      1,                0.45682,               0.003466,               0.003466,               0.003466
                     68,                0.10291,                0.85056,                      1,                0.45635,               0.003367,               0.003367,               0.003367
                     69,                  0.103,                 0.8562,                      1,                0.45445,               0.003268,               0.003268,               0.003268
                     70,                0.10165,                 0.8562,                      1,                 0.4546,               0.003169,               0.003169,               0.003169
                     71,                0.10323,                0.84962,                      1,                0.45139,                0.00307,                0.00307,                0.00307
                     72,                 0.0968,                0.85808,                      1,                0.44918,               0.002971,               0.002971,               0.002971
                     73,                0.09555,                0.86466,                      1,                0.44933,               0.002872,               0.002872,               0.002872
                     74,                0.09864,                0.86184,                      1,                0.44242,               0.002773,               0.002773,               0.002773
                     75,                0.08928,                0.86278,                      1,                0.43918,               0.002674,               0.002674,               0.002674
                     76,                0.09301,                0.86184,                      1,                0.44178,               0.002575,               0.002575,               0.002575
                     77,                0.07726,                0.86842,                      1,                0.44095,               0.002476,               0.002476,               0.002476
                     78,                0.08268,                0.86654,                      1,                0.44047,               0.002377,               0.002377,               0.002377
                     79,                0.08067,                0.86466,                      1,                0.44042,               0.002278,               0.002278,               0.002278
                     80,                0.07479,                 0.8609,                      1,                0.44434,               0.002179,               0.002179,               0.002179
                     81,                0.06993,                0.85714,                      1,                0.45453,                0.00208,                0.00208,                0.00208
                     82,                0.06894,                0.85338,                      1,                0.44998,               0.001981,               0.001981,               0.001981
                     83,                 0.0701,                0.85056,                      1,                0.45674,               0.001882,               0.001882,               0.001882
                     84,                0.07166,                0.85056,                      1,                0.45718,               0.001783,               0.001783,               0.001783
                     85,                 0.0635,                 0.8515,                      1,                0.45677,               0.001684,               0.001684,               0.001684
                     86,                0.05828,                0.84211,                      1,                0.45512,               0.001585,               0.001585,               0.001585
                     87,                0.05929,                0.84492,                      1,                0.45363,               0.001486,               0.001486,               0.001486
                     88,                 0.0585,                0.84962,                      1,                0.45366,               0.001387,               0.001387,               0.001387
                     89,                0.05991,                0.85056,                      1,                0.45202,               0.001288,               0.001288,               0.001288
                     90,                0.06405,                0.84868,                      1,                0.45501,               0.001189,               0.001189,               0.001189
                     91,                 0.0534,                0.84774,                      1,                0.45522,                0.00109,                0.00109,                0.00109
                     92,                0.04835,                0.84586,                      1,                0.45266,               0.000991,               0.000991,               0.000991
                     93,                0.05041,                 0.8515,                      1,                0.45552,               0.000892,               0.000892,               0.000892
                     94,                0.04027,                0.85432,                      1,                0.45151,               0.000793,               0.000793,               0.000793
                     95,                0.04317,                0.85244,                      1,                0.45093,               0.000694,               0.000694,               0.000694
                     96,                0.04421,                0.85244,                      1,                0.45247,               0.000595,               0.000595,               0.000595
                     97,                0.04505,                0.85056,                      1,                0.45817,               0.000496,               0.000496,               0.000496
                     98,                0.04161,                0.84868,                      1,                0.45599,               0.000397,               0.000397,               0.000397
                     99,                0.04042,                0.85056,                      1,                0.45592,               0.000298,               0.000298,               0.000298
                    100,                0.03772,                0.84774,                      1,                0.45409,               0.000199,               0.000199,               0.000199
